지점,지점명,일시,평균기온,최저기온,최고기온,평균최저기온,평균최고기온,평균 해면기압,합계 강수량,일 최다 강수량,평균 상대습도,합계 일조시간,일조율,합계 일사량,평균 풍속,최다 풍향,합계 소형 증발량,합계 대형 증발량
90,속초,2015,12.6,-10.4,35.4,8.8,16.6,1015.7,1127.7,114.5,67.5,2413.6,55.43,,2.1,290,,
90,속초,2016,12.8,-16.4,35.9,9,16.8,1015.5,1333.8,206.4,68.4,2205.3,49.74,,1.9,290,,
90,속초,2017,13.1,-11.2,34.9,8.9,17.4,1015.1,1208.2,89.4,61.6,2497.9,56.08,,1.8,290,,
90,속초,2018,12.6,-16.2,38.7,8.5,16.9,1015.8,1777,226.2,61.7,2421.1,54.36,,1.9,290,,
90,속초,2019,13.8,-9,36.1,9.6,18,1015.2,1355.5,203.7,60.6,2543.1,57.11,,1.9,270,,
90,속초,2020,13.3,-11.3,35.1,9.3,17.5,1015.3,2085.8,214.6,61.7,2447.9,54.85,,2.1,270,,
90,속초,2021,13.2,-16.1,33.8,9.2,17.4,1015.5,1199.7,83.5,64.5,2478.1,55.77,,2,270,,
90,속초,2022,12.9,-12.5,35.5,8.8,17.1,1015.4,1637.3,119.4,61.8,2488.1,55.86,0,2,270,,
90,속초,2023,13.6,-16,36.6,9.5,17.8,1015.4,1768.8,368.7,63.5,2379.8,55.5,,1.9,270,,
93,북춘천,2016,,-12.1,29,,,,208.4,49,,475,50.02,845.97,,230,187.9,131.4
93,북춘천,2017,11.3,-19,37.5,5.3,18.1,1016.6,1133.4,146.5,66.3,2503.1,56.2,5163.39,1.3,230,1372.5,960.9
93,북춘천,2018,11.2,-21.7,40.6,5.3,17.9,1017,1261.9,189.5,65.6,2542,57.06,4907.95,1.4,200,1321,924.2
93,북춘천,2019,11.7,-15.1,36.5,5.8,18.3,1016.6,931.8,85.7,68.6,2368.7,53.18,5264.83,1.2,200,1372.2,959.9
93,북춘천,2020,11.4,-18.5,35.8,5.9,17.8,1016.8,1561.4,188.5,72.5,2281.7,51.12,5226.28,1.3,200,1285.2,900.1
93,북춘천,2021,11.6,-22.5,36.6,6.1,18,1016.8,1065.2,67.4,73.5,2303.2,51.71,5354.64,1.2,200,1290.2,902.9
93,북춘천,2022,11,-18.5,35.8,5.2,17.5,1017.1,1590.8,158,71.8,2383.2,53.66,5390.55,1.2,200,1283.9,899.7
93,북춘천,2023,11.9,-21.7,35.2,6.4,18.2,1016.9,1366.8,83.1,74,2518.1,56.72,5320.11,1.1,200,1301.2,911
95,철원,1988,10,-17.6,36.9,3.9,16.7,1013.6,970.5,177,67.1,2184.6,48.93,4643.19,1.2,180,962.8,
95,철원,1989,11,-15.9,34.6,5.4,17.2,1014.4,1276.2,110.4,71.9,2083.1,46.79,4770.33,1.3,180,987.4,
95,철원,1990,10.4,-25.8,34.1,5.7,15.8,1015.7,2192.8,149.7,77.2,1699.8,38.19,4025.23,2,200,1024.4,528.6
95,철원,1991,9.9,-21.6,32.8,4.2,16,1015.5,994.6,161.6,72.1,2113.1,47.46,4071.05,2.1,250,1142.4,571.4
95,철원,1992,9.8,-19.4,33,4.5,15.8,1015.3,1120,102,73.7,1857.3,41.64,,1.9,230,1086.1,548
95,철원,1993,9.7,-18.3,30.6,4.4,15.7,1015.3,1099.7,82.3,72.6,2019.3,45.36,,1.7,200,1139.5,553.9
95,철원,1994,10.7,-21.5,35.4,5.2,16.7,1015,1140.3,114.1,70.1,2084.2,46.83,,1.8,200,1278.8,620.3
95,철원,1995,9.3,-19.3,32.6,3.9,15.4,1014.9,1534.4,143.4,66.7,2042.1,45.88,,1.9,200,1143.2,512.6
95,철원,1996,9.4,-19.1,33.5,4,15.5,1015.4,1374.6,268.1,65.4,2091.5,46.88,,1.8,230,1176.7,518.7
95,철원,1997,10,-20.2,34.6,4.3,16.2,1015.4,1202.8,85.2,68.7,2306.8,51.82,,1.7,200,1254.9,560.7
95,철원,1998,11.3,-19.3,33.7,6.2,17,1015.8,1652.8,102.6,71.2,2197.9,49.38,,1.8,230,1140.5,535.5
95,철원,1999,10.6,-17.5,33.9,5.1,16.5,1015.2,1679.6,280.3,70.9,2210.6,49.66,,1.6,230,1183.5,551.7
95,철원,2000,10.2,-18.5,33.6,4.5,16.2,1016.2,1125.2,120.1,71.3,2033.3,45.57,,1.3,230,1155.1,522.7
95,철원,2001,10,-29.2,33.1,4,16.5,1016.6,1277.6,166.5,70,2189.8,49.18,,1.6,230,1219.6,602.3
95,철원,2002,10.1,-24.4,34.4,4.5,16.1,1016.2,1289.3,191,71.8,2056.2,46.17,,1.9,230,1243.2,605.2
95,철원,2003,10,-24.6,30.4,4.9,15.5,1016.9,1717,161.5,74.6,1909.1,42.87,,1.8,20,1030.4,525.5
95,철원,2004,10.3,-20.4,33.4,4.7,16.4,1016.7,1249.6,114.5,68.7,2161.7,48.43,,2,200,1198.4,569.5
95,철원,2005,9.3,-20.1,33.8,3.7,15.4,1016.4,1323.2,95,65.6,2114.9,47.48,,2.1,200,1075.7,540.6
95,철원,2006,10.4,-19.3,33.9,5,16.5,1016.5,1298,127,68.2,1909.3,42.87,,2,230,951.7,482
95,철원,2007,10.7,-16.9,33.9,5.4,16.8,1016.2,1507.9,116.5,72.3,1928.1,43.3,,2,230,1019.9,537.6
95,철원,2008,10.4,-19.1,35.1,4.7,16.7,1016.5,1504.9,230,70.3,2108.7,47.26,,1.8,200,1014.8,556.1
95,철원,2009,10.4,-19.8,33.2,4.8,16.6,1015.9,1599.1,171.5,70.1,2075.4,46.6,,1.8,200,1047.5,558.5
95,철원,2010,10.1,-26.8,32.9,4.7,15.8,1016.5,1867.5,125.5,72.1,1776.1,39.88,,1.8,200,979.1,481.9
95,철원,2011,9.8,-24.3,34.3,4.2,16,1016.9,1656.3,200.5,69.5,2059.4,46.25,,1.8,200,967.2,507
95,철원,2012,9.6,-24.6,34.3,4,15.6,1016.1,1317.7,174.5,68.1,2179.9,48.84,,1.8,230,1136.4,575.8
95,철원,2013,10,-25.8,32.7,4.6,15.9,1016,1758.9,145.5,72,2364.4,53.08,,1.7,200,1050.4,524.6
95,철원,2014,11,-20.3,35.3,5.1,17.3,1016.7,684.4,81,67.8,2486.9,55.84,,1.7,200,1175,605.4
95,철원,2015,11.1,-18.1,35.6,5.2,17.5,1016.6,1094.9,134,66.7,2625.1,58.95,,1.6,200,340.2,
